id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1810705,Tu Mejor Elección Santiago Centro,1884403,Ariel,,Santiago,-33.45175,-70.64049,Private room,21602,2,7,2015-01-14,0.07,1,331,0,
529207,Gran Casa Hermosa vista la mejor !!,2294459,Cristian,,Peñalolén,-33.47721,-70.52016,Private room,518449,5,0,,,1,365,0,
5102250,2 dormitorios casa en Barrio Repùblica,22406427,Alvaro Eradio,,Santiago,-33.45112,-70.66803,Private room,19753,7,1,2022-03-23,0.11,2,362,1,
3752288,"Apartamento en Lastarria, Santiago",15830829,Gabriel,,Santiago,-33.43802,-70.64171,Entire home/apt,69127,1,0,,,1,365,0,
533042,"Hola, Ven a conocer Santiago!",2619406,Cristian,,Providencia,-33.42845,-70.61774,Entire home/apt,38884,3,136,2022-11-05,1.84,1,158,21,
3810101,Valle Nevado Ski Resort  Apartment,19426283,Nils,,Lo Barnechea,-33.35686,-70.24789,Entire home/apt,353776,2,13,2021-09-20,0.13,1,90,0,
3820313,Amazing !! Apartment El Golf 13,3085810,Luis Hernan,,Las Condes,-33.41422,-70.59148,Entire home/apt,73447,4,15,2020-01-25,0.19,3,48,0,
5102636,Arriendo en Barrio Lastarria,26110680,Soraya,,Santiago,-33.44061,-70.64235,Private room,25922,2,10,2022-11-13,0.12,1,365,4,
533257,Heart of Santiago: Bellas Artes Apt,2620569,Jessica,,Santiago,-33.43615,-70.64867,Private room,51845,2,0,,,1,365,0,
5103270,"single or couple,parking, full wifi",26315125,Anne Marie Y Franco,,Santiago,-33.4327,-70.65774,Entire home/apt,40612,2,114,2022-12-17,1.21,1,49,17,
558026,"Vista Cordillera de los Andes, Providencia",2743887,Marcia,,Providencia,-33.43451,-70.62698,Entire home/apt,37895,2,37,2022-10-19,0.39,1,304,26,
5105455,Pieza estudiantes extranjeros,4497602,Gianina,,Macul,-33.48306,-70.5946,Private room,17000,1,1,2015-11-28,0.01,2,226,0,
3826466,VALLE NEVADO Ski-in/out LUXURY APT,2408428,Maria Cristina,,Lo Barnechea,-33.35519,-70.25035,Entire home/apt,1036898,3,10,2022-08-26,0.19,1,251,2,
6319333,Amazing view to Andes Mountains,1417853,Andrés,,Providencia,-33.42198,-70.60734,Entire home/apt,41657,7,218,2022-11-06,2.36,2,148,8,
6327958,Luxury Apartment by Bellas Artes,4210106,Cristóbal,,Santiago,-33.44204,-70.64674,Entire home/apt,34563,3,70,2022-11-13,0.76,3,357,11,
3848142,Nice Sunny  Bellas Artes Apartment*,2041286,Patricia,,Santiago,-33.43686,-70.64436,Entire home/apt,33328,15,21,2022-12-23,0.21,3,13,1,
3848646,departamento amoblados cochrane,19840820,Hugo,,Santiago,-33.44777,-70.65325,Entire home/apt,46911,2,1,2014-11-03,0.01,1,363,0,
5105782,Apt Lastarria Santiago Hearth,26178509,Carolina,,Santiago,-33.44097,-70.64325,Entire home/apt,30243,3,11,2019-04-05,0.12,1,358,0,
6346765,"Habitación, a pasos estadios",15675407,Jaime,,El Bosque,-33.5623,-70.67647,Private room,51845,2,0,,,1,365,0,
6361321,Private room at the heart of Providencia,18161537,Catalina,,Providencia,-33.42607,-70.61111,Private room,15553,4,43,2019-09-29,0.47,1,267,0,
5115990,Nice view to Los Andes,5514113,Wale,,Providencia,-33.42909,-70.6201,Entire home/apt,51845,5,10,2017-01-06,0.11,5,364,0,
3914772,Departamento en Termas de Chillan,20276859,Genoveva,,Peñalolén,-33.50865,-70.55336,Entire home/apt,194418,1,0,,,1,365,0,
6386713,viaja a la copa america con comodid,33289113,Angela,,Lo Espejo,-33.51676,-70.67502,Private room,91890,1,0,,,1,365,0,
3915305,2Nice apt. special for tourists!!!,17575419,Maria Paz,,Santiago,-33.44943,-70.65178,Entire home/apt,36291,3,45,2022-11-13,0.44,3,89,9,
5117194,Linda casa Santiago,26445111,Maria Teresa,,Providencia,-33.44047927856445,-70.63310241699219,Entire home/apt,38884,3,1,2022-12-11,1,1,191,1,
6388922,Departamento metro Escuela Militar,33305267,Jose,,Las Condes,-33.41212,-70.58613,Entire home/apt,51845,360,13,2016-09-25,0.14,1,364,0,
5122965,Room with private bathroom.,26477272,Cristián,,Recoleta,-33.43304,-70.64275,Private room,51102,1,8,2022-06-10,0.10,1,365,1,
6398596,"Arriendo Dpto Amoblado por dia,mes",33364203,Patricio,,San Miguel,-33.50428,-70.65881,Entire home/apt,120971,1,0,,,1,365,0,
5158180,"For rent,  nice room",26675820,Patricio,,Santiago,-33.44752,-70.64277,Private room,34563,1,0,,,1,365,0,
5168502,Habitación en Vitacura-CEPAL,26731820,Rebeca,,Vitacura,-33.4061,-70.59978,Private room,25922,4,8,2016-10-08,0.08,1,362,0,
3921727,Very Nice Apt Close to Mall Costanera Center,20313912,Juan Carlos,,Providencia,-33.42537,-70.60746,Entire home/apt,60486,10,53,2022-10-02,0.58,3,354,4,
6398645,La Parva Luxury Apartment (Real Ski In & Out),33154745,Marco,,Lo Barnechea,-33.33397,-70.28639,Entire home/apt,604857,2,15,2022-07-25,0.19,1,365,1,
3945531,Wonderful place in Santiago Centro,11513037,Monica,,Santiago,-33.44339,-70.64373,Entire home/apt,47524,1,7,2015-12-30,0.07,1,0,0,
5183706,Ótimo Apto Novo!,21855662,Marcel,,Santiago,-33.44844,-70.63997,Entire home/apt,24555,2,1,2015-02-13,0.01,1,211,0,
6398797,En El Golf con amplia terraza (C),33365414,La Dehesa,,Las Condes,-33.41866,-70.59757,Entire home/apt,94000,1,44,2022-12-11,0.48,5,364,22,76417212-4
5208604,"Pieza en Barrio de Italia, Providen",6222631,Jaime,,Providencia,-33.44112,-70.62298,Private room,51845,1,0,,,1,363,0,
3951218,"SingleRoom with Bath,table,TV!!",20478981,Ignacio Alonso,,La Florida,-33.54243,-70.5921,Private room,50000,1,0,,,1,365,0,
6409252,Warm family / great room & garden/ PUC (1),91543927,Eugenia,,Macul,-33.50222,-70.61254,Private room,21602,30,36,2022-01-17,0.39,3,296,1,
3956736,Nice flat in La Reina,7095490,Alejandro,,La Reina,-33.45857,-70.55412,Entire home/apt,43204,7,12,2022-02-28,0.18,1,306,1,
5211446,Private room in central Providencia,26959485,Andrea Paz,,Providencia,-33.42974,-70.6231,Private room,17774,6,21,2022-09-01,0.22,1,155,2,
6413886,I want to live here!!!  2,2041286,Patricia,,Santiago,-33.43677,-70.64484,Entire home/apt,27651,20,15,2019-08-03,0.17,3,78,0,
5216615,STUDIO NICE & COOL 2,14859438,Francisco,,Providencia,-33.43271,-70.59144,Entire home/apt,34814,2,172,2022-11-28,1.82,4,307,6,
